Time(ms),Method,Roll,Pitch
1869.0,ACCEL,2.506,18.945
1869.0,GYRO,0.381,24.516
1869.0,COMP,2.225,19.943
1879.0,ACCEL,2.283,19.134
1879.0,GYRO,0.379,24.531
1879.0,COMP,2.224,19.94
1889.0,ACCEL,2.341,19.325
1889.0,GYRO,0.377,24.54
1889.0,COMP,2.224,19.938
1899.0,ACCEL,2.194,19.115
1899.0,GYRO,0.372,24.546
1899.0,COMP,2.219,19.927
1909.0,ACCEL,2.449,19.035
1909.0,GYRO,0.366,24.553
1909.0,COMP,2.218,19.916
1920.0,ACCEL,2.145,18.88
1920.0,GYRO,0.358,24.565
1920.0,COMP,2.208,19.907
1930.0,ACCEL,2.507,19.257
1930.0,GYRO,0.355,24.574
1930.0,COMP,2.212,19.902
1940.0,ACCEL,2.366,19.184
1940.0,GYRO,0.351,24.581
1940.0,COMP,2.21,19.895
1950.0,ACCEL,2.216,19.29
1950.0,GYRO,0.348,24.586
1950.0,COMP,2.208,19.888
1961.0,ACCEL,2.086,19.278
1961.0,GYRO,0.347,24.587
1961.0,COMP,2.205,19.877
1970.0,ACCEL,2.132,19.033
1970.0,GYRO,0.349,24.589
1970.0,COMP,2.205,19.862
1980.0,ACCEL,2.263,19.118
1980.0,GYRO,0.353,24.589
1980.0,COMP,2.21,19.847
1990.0,ACCEL,2.046,19.116
1990.0,GYRO,0.36,24.592
1990.0,COMP,2.214,19.836
2000.0,ACCEL,2.195,19.108
2000.0,GYRO,0.362,24.602
2000.0,COMP,2.215,19.831
2010.0,ACCEL,2.402,19.08
2010.0,GYRO,0.363,24.614
2010.0,COMP,2.22,19.827
2020.0,ACCEL,2.308,19.231
2020.0,GYRO,0.364,24.629
2020.0,COMP,2.223,19.83
2030.0,ACCEL,2.174,19.035
2030.0,GYRO,0.366,24.643
2030.0,COMP,2.224,19.828
2040.0,ACCEL,2.465,19.118
2040.0,GYRO,0.368,24.65
2040.0,COMP,2.231,19.82
2050.0,ACCEL,2.245,19.239
2050.0,GYRO,0.368,24.655
2050.0,COMP,2.231,19.814
2060.0,ACCEL,2.251,19.111
2060.0,GYRO,0.368,24.664
2060.0,COMP,2.231,19.808
2070.0,ACCEL,2.449,19.097
2070.0,GYRO,0.368,24.674
2070.0,COMP,2.235,19.804
2080.0,ACCEL,2.227,19.027
2080.0,GYRO,0.369,24.684
2080.0,COMP,2.236,19.799
2091.0,ACCEL,2.207,19.296
2091.0,GYRO,0.369,24.691
2091.0,COMP,2.235,19.796
2101.0,ACCEL,2.333,19.55
2101.0,GYRO,0.369,24.694
2101.0,COMP,2.238,19.794
2111.0,ACCEL,2.449,18.994
