Time(ms),Method,Roll,Pitch
2462.0,ACCEL,47.99,-6.211
2462.0,GYRO,57.323,0.275
2462.0,COMP,48.904,-5.097
2473.0,ACCEL,47.981,-6.197
2473.0,GYRO,57.291,0.265
2473.0,COMP,48.855,-5.129
2482.0,ACCEL,47.712,-5.993
2482.0,GYRO,57.257,0.253
2482.0,COMP,48.799,-5.158
2492.0,ACCEL,47.528,-5.931
2492.0,GYRO,57.251,0.248
2492.0,COMP,48.767,-5.178
2502.0,ACCEL,48.221,-6.074
2502.0,GYRO,57.237,0.247
2502.0,COMP,48.743,-5.197
2512.0,ACCEL,47.789,-6.004
2512.0,GYRO,57.224,0.241
2512.0,COMP,48.711,-5.22
2522.0,ACCEL,47.763,-5.931
2522.0,GYRO,57.232,0.24
2522.0,COMP,48.7,-5.235
2532.0,ACCEL,48.196,-5.886
